Mt,Mh_calc_exact,Mh_calc_approx
50,10.2568,10.2568
52,10.2684,10.2684
54,10.2812,10.2812
56,10.2949,10.2949
58,10.3099,10.3099
60,10.3259,10.3259
62,10.343,10.343
64,10.3614,10.3614
66,10.3808,10.3808
68,10.4014,10.4014
70,10.4231,10.4231
72,10.4457,10.4457
74,10.4697,10.4697
76,10.4947,10.4947
78,10.5208,10.5208
80,10.5476,10.5476
82,10.5754,10.5754
84,10.604,10.604
86,10.6335,10.6335
88,10.664,10.664
90,10.6946,10.6946
92,10.7266,10.7266
94,10.7588,10.7588
96,10.7913,10.7913
98,10.8246,10.8246
100,10.8576,10.8576
102,11.5613,10.891
104,12.1683,10.925
106,17.4088,10.9576
108,20.3745,10.9913
110,22.5924,11.024
112,25.2732,11.0564
114,28.5517,11.0886
116,29.1244,11.1205
118,33.5972,11.1511
120,36.8502,11.1799
122,35.7333,11.2077
124,32.37,11.2347
126,45.6879,11.2601
128,46.1573,11.2837
130,11.3058,11.3058
132,54.3314,11.3255
134,57.5228,11.342
136,11.3557,11.3557
138,11.3686,11.3686
140,11.3772,11.3772
142,11.3828,11.3828
144,11.3849,11.3849
146,11.3857,11.3857
148,11.3792,11.3792
150,82.8269,11.3706
152,23.6703,23.8666
154,35.7731,35.8723
156,45.1705,45.2032
158,53.3922,53.3922
160,60.8609,60.9606
162,67.9678,67.9678
164,74.6459,74.7457
166,81.1933,81.1933
168,87.4755,87.4755
170,93.726,93.726
172,99.8098,99.8098
174,105.762,105.762
176,111.714,111.714
178,117.6,117.6
180,123.452,123.452
182,129.206,129.206
184,134.858,134.958
186,140.312,140.612
188,299.981,146.164
190,150.684,151.417
192,299.968,299.968
194,299.96,299.96
196,299.952,299.952
198,299.944,299.944
200,299.935,299.935
202,299.926,299.926
204,299.916,299.916
206,299.905,299.905
208,299.894,299.894
210,299.882,299.882
212,299.869,299.869
214,299.856,299.856
216,299.842,299.842
218,299.827,299.827
220,299.812,299.812
222,299.795,299.795
224,299.779,299.779
226,299.761,299.761
228,299.742,299.742
230,299.722,299.722
232,299.702,299.702
234,299.68,299.68
236,299.658,299.658
238,299.634,299.634
240,299.61,299.61
242,299.584,299.584
244,299.558,299.558
246,299.53,299.53
248,299.502,299.502
250,299.471,299.471
