phi_0,status,S_kin,S_pot,residual,final_phi,final_dphi,max_r,step_cnt
1.000000e+008,UNDERSHOOT,6.279123e+143,nan,nan,4.001161e+071,1.261158e+079,2.000000e-004,1
1.000000e+009,UNDERSHOOT,1.061957e+202,nan,nan,5.487654e+100,1.640112e+108,2.000000e-004,1
1.000000e+010,UNDERSHOOT,7.382414e+258,nan,nan,1.532136e+129,4.324335e+136,2.000000e-004,1
1.000000e+011,UNDERSHOOT,inf,nan,nan,1.153434e+157,3.165600e+164,2.000000e-004,1
1.000000e+012,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
1.000000e+013,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
1.000000e+014,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
1.000000e+015,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
1.000000e+016,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
1.000000e+017,FAILED,nan,nan,nan,nan,nan,2.000000e-004,1
